compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status
Rivastigmine,NA,AChE inhibitor,Both Acetylcholinesterase and Butyrylcholinesterase,Alzheimer disease,Approved,2000,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,XSVMFMHYUFZWBK-NSHDSACASA-N,77991,OK
Galantamine,NA,AChE inhibitor,Acetylcholinesterase (AChE) and allosteric modulation of Nicotinic ACh receptors,Alzheimer disease,Approved,2001,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O,ASUTZQLVASHGKV-JDFRZJQESA-N,9651,OK
Memantine,NA,NMDA receptor antagonist,"NMDA receptor (uncompetitive, moderate-affinity antagonist)",Alzheimer disease,Approved,2003,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC12CC3CC(C1)(CC(C3)(C2)N)C,BUGYDGFZZOZRHP-UHFFFAOYSA-N,4054,OK
Pimavanserin,NA,5-HT2A inverse agonist,5-HT2A receptor (selective inverse agonist/antagonist),Parkinson psychosis,Approved,2016,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,RKEWSXXUOLRFBX-UHFFFAOYSA-N,10071196,OK
Levodopa,NA,Dopamine precursor,DOPA decarboxylase (substrate for conversion to dopamine),Parkinson disease,Approved,1970,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,WTDRDQBEARUVNC-LURJTMIESA-N,6047,OK
Carbidopa,NA,Hydrazine decarboxylase inhibitor,Aromatic L-amino acid decarboxylase (peripheral inhibition),Parkinson disease,Approved,1975,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,TZFNLOMSOLWIDK-JTQLQIEISA-N,34359,OK
Benserazide,NA,DOPA decarboxylase inhibitor,Aromatic L-amino acid decarboxylase (peripheral inhibition),Parkinson disease,Approved,1979 (Japan),NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O,BNQDCRGUHNALGH-UHFFFAOYSA-N,2327,OK
Pramipexole,NA,Dopamine D2/D3 agonist,D3 receptor (higher affinity) and D2 receptor,Parkinson disease,Approved,1997,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCCN[C@H]1CCC2=C(C1)SC(=N2)N,FASDKYOPVNHBLU-ZETCQYMHSA-N,119570,OK
Ropinirole,NA,Dopamine D2 agonist,D2 receptor and D3 receptor,Parkinson disease,Approved,1997,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,UHSKFQJFRQCDBE-UHFFFAOYSA-N,5095,OK
Rotigotine,NA,Dopamine agonist,"D1, D2, and D3 receptors",Parkinson disease,Approved,2007,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCCN(CCC1=CC=CS1)[C@H]2CCC3=C(C2)C=CC=C3O,KFQYTPMOWPVWEJ-INIZCTEOSA-N,59227,OK
Apomorphine,NA,Dopamine agonist,D1 and D2 receptors,Parkinson disease,Approved,2004,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,VMWNQDUVQKEIOC-CYBMUJFWSA-N,6005,OK
Entacapone,NA,COMT inhibitor,Catechol-O-methyltransferase (COMT) (peripheral inhibition),Parkinson disease,Approved,1999,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,JRURYQJSLYLRLN-BJMVGYQFSA-N,5281081,OK
Rasagiline,NA,MAO-B inhibitor,Monoamine Oxidase B (MAO-B) (irreversible inhibition),Parkinson disease,Approved,2006,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C#CCN[C@@H]1CCC2=CC=CC=C12,RUOKEQAAGRXIBM-GFCCVEGCSA-N,3052776,OK
Sumatriptan,NA,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,1992,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,KQKPFRSPSRPDEB-UHFFFAOYSA-N,5358,OK
Rizatriptan,NA,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,1998,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,ULFRLSNUDGIQQP-UHFFFAOYSA-N,5078,OK
Zolmitriptan,NA,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,1997,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,ULSDMUVEXKOYBU-ZDUSSCGKSA-N,60857,OK
Eletriptan,NA,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,2002,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,PWVXXGRKLHYWKM-LJQANCHMSA-N,77993,OK
Naratriptan,NA,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,1998,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,AMKVXSZCKVJAGH-UHFFFAOYSA-N,4440,OK
Almotriptan,NA,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,2001,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,123606,OK
Frovatriptan,NA,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,2001,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN[C@@H]1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,XPSQPHWEGNHMSK-SECBINFHSA-N,77992,OK
Ubrogepant,NA,CGRP antagonist,CGRP receptor,Migraine,Approved,2019,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=CC=CC=C6,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,68748835,OK
Rimegepant,NA,CGRP antagonist,CGRP receptor,Migraine,Approved,2020,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6,KRNAOFGYEFKHPB-ANJVHQHFSA-N,51049968,OK
Atogepant,NA,CGRP antagonist,CGRP receptor,Migraine,Approved,2021,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=C(C=CC(=C6F)F)F,QIVUCLWGARAQIO-OLIXTKCUSA-N,72163100,OK
Lasmiditan,NA,5-HT1F agonist,5-HT1F receptor,Migraine,Approved,2019,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCC(CC1)C(=O)C2=NC(=CC=C2)NC(=O)C3=C(C=C(C=C3F)F)F,XEDHVZKDSYZQBF-UHFFFAOYSA-N,11610526,OK
Zolpidem,NA,Z-drug (GABA-A modulator),GABA_A receptor (_1_-subunit selective PAM),Insomnia,Approved,1992,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,ZAFYATHCZYHLPB-UHFFFAOYSA-N,5732,OK
Eszopiclone,NA,Z-drug (GABA-A modulator),"GABA_A receptor (non-selective PAM at _1_,_2_,_3_,_5_)",Insomnia,Approved,2004,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,GBBSUAFBMRNDJC-INIZCTEOSA-N,969472,OK
Zaleplon,NA,Z-drug (GABA-A modulator),GABA_A receptor (_1_-subunit selective PAM),Insomnia,Approved,1999,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,HUNXMJYCHXQEGX-UHFFFAOYSA-N,5719,OK
Suvorexant,NA,Orexin receptor antagonist,OX1 and OX2 receptors,Insomnia,Approved,2014,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,JYTNQNCOQXFQPK-MRXNPFEDSA-N,24965990,OK
Lemborexant,NA,Orexin receptor antagonist,OX1 and OX2 receptors,Insomnia,Approved,2019,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,MUGXRYIUWFITCP-PGRDOPGGSA-N,56944144,OK
Ramelteon,NA,Melatonin MT1/MT2 agonist,MT1 and MT2 receptors,Insomnia,Approved,2005,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCC(=O)NCC[C@@H]1CCC2=C1C3=C(C=C2)OCC3,YLXDSYKOBKBWJQ-LBPRGKRZSA-N,208902,OK
Fingolimod,NA,S1P receptor modulator,"Sphingosine-1-phosphate receptors (S1P1, S1P3, S1P4, S1P5)",Multiple sclerosis,Approved,2010,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,KKGQTZUTZRNORY-UHFFFAOYSA-N,107970,OK
Siponimod,NA,S1P receptor modulator,S1P1 and S1P5 receptors,Multiple sclerosis,Approved,2019,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCC1=C(C=CC(=C1)/C(=N/OCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)/C)CN4CC(C4)C(=O)O,KIHYPELVXPAIDH-HNSNBQBZSA-N,44599207,OK
Ozanimod,NA,S1P receptor modulator,S1P1 and S1P5 receptors,Multiple sclerosis,Approved,2020,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CC[C@@H](C4=CC=C3)NCCO)C#N,XRVDGNKRPOAQTN-FQEVSTJZSA-N,52938427,OK
Teriflunomide,NA,DHODH inhibitor,Dihydroorotate dehydrogenase (DHODH),Multiple sclerosis,Approved,2012,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C/C(=C(\C#N)/C(=O)NC1=CC=C(C=C1)C(F)(F)F)/O,UTNUDOFZCWSZMS-YFHOEESVSA-N,54684141,OK
Apixaban,NA,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2012,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,QNZCBYKSOIHPEH-UHFFFAOYSA-N,10182969,OK
Rivaroxaban,NA,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2011,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,9875401,OK
Dabigatran,NA,Direct thrombin inhibitor,Thrombin (Factor IIa),Anticoagulation,Approved,2010,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,YBSJFWOBGCMAKL-UHFFFAOYSA-N,216210,OK
Edoxaban,NA,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2015,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,HGVDHZBSSITLCT-JLJPHGGASA-N,10280735,OK
Warfarin,NA,Vitamin K antagonist,Vitamin K epoxide reductase complex subunit 1 (VKORC1),Anticoagulation,Approved,1954,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,PJVWKTKQMONHTI-UHFFFAOYSA-N,54678486,OK
Amlodipine,NA,Calcium channel blocker,L-type voltage-gated calcium channels,Hypertension,Approved,1987,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,HTIQEAQVCYTUBX-UHFFFAOYSA-N,2162,OK
Nifedipine,NA,Calcium channel blocker,L-type voltage-gated calcium channels,Hypertension,Approved,1981,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,HYIMSNHJOBLJNT-UHFFFAOYSA-N,4485,OK
Losartan,NA,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,1995,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,3961,OK
Valsartan,NA,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,1996,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,ACWBQPMHZXGDFX-QFIPXVFZSA-N,60846,OK
Olmesartan,NA,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,2002,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,VTRAEEWXHOVJFV-UHFFFAOYSA-N,158781,OK
Telmisartan,NA,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,1998,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,RMMXLENWKUUMAY-UHFFFAOYSA-N,65999,OK
Lisinopril,NA,ACE inhibitor,Angiotensin-converting enzyme (ACE),Hypertension,Approved,1987,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,RLAWWYSOJDYHDC-BZSNNMDCSA-N,5362119,OK
Enalapril,NA,ACE inhibitor,Angiotensin-converting enzyme (ACE),Hypertension,Approved,1985,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,GBXSMTUPTTWBMN-XIRDDKMYSA-N,5388962,OK
Ramipril,NA,ACE inhibitor,Angiotensin-converting enzyme (ACE),Hypertension,Approved,1991,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,HDACQVRGBOVJII-JBDAPHQKSA-N,5362129,OK
Metoprolol,NA,Beta-1 blocker,_1_-adrenergic receptor,Hypertension,Approved,1978,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,IUBSYMUCCVWXPE-UHFFFAOYSA-N,4171,OK
Carvedilol,NA,Non-selective beta blocker,"_1_, _2_, and _1_-adrenergic receptors",Heart failure,Approved,1995,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,OGHNVEJMJSYVRP-UHFFFAOYSA-N,2585,OK
Propranolol,NA,Non-selective beta blocker,_1_ and _2_-adrenergic receptors,Hypertension/Arrhythmia,Approved,1967,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,AQHHHDLHHXJYJD-UHFFFAOYSA-N,4946,OK
Atorvastatin,NA,HMG-CoA reductase inhibitor,HMG-CoA reductase,Dyslipidemia,Approved,1996,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,XUKUURHRXDUEBC-KAYWLYCHSA-N,60823,OK
Rosuvastatin,NA,HMG-CoA reductase inhibitor,HMG-CoA reductase,Dyslipidemia,Approved,2003,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,BPRHUIZQVSMCRT-VEUZHWNKSA-N,446157,OK
Simvastatin,NA,HMG-CoA reductase inhibitor,HMG-CoA reductase,Dyslipidemia,Approved,1991,NA,NA,approved,Cardiovascular,NA,approved_control,Approved controls (success),CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,RYMZZMVNJRMUDD-HGQWONQESA-N,54454,OK
Metformin,NA,Biguanide,Mitochondrial respiratory-chain complex I and AMPK,T2D,Approved,1995,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,4091,OK
Empagliflozin,NA,SGLT2 inhibitor,Sodium-glucose co-transporter 2 (SGLT2),T2D,Approved,2014,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl,OBWASQILIWPZMG-QZMOQZSNSA-N,11949646,OK
Dapagliflozin,NA,SGLT2 inhibitor,Sodium-glucose co-transporter 2 (SGLT2),T2D,Approved,2014,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl,JVHXJTBJCFBINQ-ADAARDCZSA-N,9887712,OK
Canagliflozin,NA,SGLT2 inhibitor,Sodium-glucose co-transporter 2 (SGLT2),T2D,Approved,2013,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,24812758,OK
Sitagliptin,NA,DPP-4 inhibitor,Dipeptidyl peptidase-4 (DPP-4),T2D,Approved,2006,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,MFFMDFFZMYYVKS-SECBINFHSA-N,4369359,OK
Linagliptin,NA,DPP-4 inhibitor,Dipeptidyl peptidase-4 (DPP-4),T2D,Approved,2011,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,LTXREWYXXSTFRX-QGZVFWFLSA-N,10096344,OK
Alogliptin,NA,DPP-4 inhibitor,Dipeptidyl peptidase-4 (DPP-4),T2D,Approved,2013,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,11450633,OK
Orlistat,NA,Lipase inhibitor,Gastric and pancreatic lipases (inhibits dietary fat absorption),Obesity,Approved,1999,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,AHLBNYSZXLDEJQ-FWEHEUNISA-N,3034010,OK
Pioglitazone,NA,PPAR-_ agonist,Peroxisome proliferator-activated receptor gamma (PPAR-_),T2D,Approved,1999,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,HYAFETHFCAUJAY-UHFFFAOYSA-N,4829,OK
Repaglinide,NA,Meglitinide,ATP-sensitive potassium (K-ATP channels on pancreatic beta cells,T2D,Approved,1997,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,FAEKWTJYAYMJKF-QHCPKHFHSA-N,65981,OK
Nateglinide,NA,Meglitinide,ATP-sensitive potassium (K-ATP channels on pancreatic beta cells,T2D,Approved,2000,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O,OELFLUMRDSZNSF-OFLPRAFFSA-N,5311309,OK
Ezetimibe,NA,NPC1L1 inhibitor,Niemann-Pick C1-Like 1 (NPC1L1) cholesterol transporter,Dyslipidemia,Approved,2002,NA,NA,approved,Metabolic,NA,approved_control,Approved controls (success),C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,OLNTVTPDXPETLC-XPWALMASSA-N,150311,OK
Omeprazole,NA,Proton pump inhibitor,H+/K+-ATPase (Proton Pump),GERD/Ulcer,Approved,1989,NA,NA,approved,GI,NA,approved_control,Approved controls (success),CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,SUBDBMMJDZJVOS-UHFFFAOYSA-N,4594,OK
Esomeprazole,NA,Proton pump inhibitor,H+/K+-ATPase (Proton Pump),GERD/Ulcer,Approved,2001,NA,NA,approved,GI,NA,approved_control,Approved controls (success),CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC,SUBDBMMJDZJVOS-DEOSSOPVSA-N,9568614,OK
Lansoprazole,NA,Proton pump inhibitor,H+/K+-ATPase (Proton Pump),GERD/Ulcer,Approved,1995,NA,NA,approved,GI,NA,approved_control,Approved controls (success),CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,MJIHNNLFOKEZEW-UHFFFAOYSA-N,3883,OK
Pantoprazole,NA,Proton pump inhibitor,H+/K+-ATPase (Proton Pump),GERD/Ulcer,Approved,2000,NA,NA,approved,GI,NA,approved_control,Approved controls (success),COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,IQPSEEYGBUAQFF-UHFFFAOYSA-N,4679,OK
Rabeprazole,NA,Proton pump inhibitor,H+/K+-ATPase (Proton Pump),GERD/Ulcer,Approved,1999,NA,NA,approved,GI,NA,approved_control,Approved controls (success),CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC,YREYEVIYCVEVJK-UHFFFAOYSA-N,5029,OK
Famotidine,NA,H2 receptor antagonist,Histamine H2 receptor,GERD/Ulcer,Approved,1986,NA,NA,approved,GI,NA,approved_control,Approved controls (success),C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,XUFQPHANEAPEMJ-UHFFFAOYSA-N,5702160,OK
Ranitidine,NA,H2 receptor antagonist,Histamine H2 receptor,GERD/Ulcer,Approved,1983,NA,NA,approved,GI,NA,approved_control,Approved controls (success),CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,VMXUWOKSQNHOCA-UKTHLTGXSA-N,3001055,OK
Domperidone,NA,D2 antagonist (peripheral),Peripheral Dopamine D2 receptors,Gastroparesis,Approved,1978 (Belgium/Switzerland),NA,NA,approved,GI,NA,approved_control,Approved controls (success),C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,FGXWKSZFVQUSTL-UHFFFAOYSA-N,3151,OK
Loperamide,NA,Peripheral opioid agonist,Peripheral _-opioid receptors,Diarrhea,Approved,1976,NA,NA,approved,GI,NA,approved_control,Approved controls (success),CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,RDOIQAHITMMDAJ-UHFFFAOYSA-N,3955,OK
Lubiprostone,NA,Chloride channel activator,Chloride Channel-2 (ClC-2),Constipation,Approved,2006,NA,NA,approved,GI,NA,approved_control,Approved controls (success),CCCCC([C@]1(CC[C@H]2[C@H](O1)CC(=O)[C@@H]2CCCCCCC(=O)O)O)(F)F,WGFOBBZOWHGYQH-MXHNKVEKSA-N,157920,OK
Montelukast,NA,Leukotriene antagonist,Cysteinyl leukotriene receptor 1 (CysLT1),Asthma,Approved,1998,NA,NA,approved,Respiratory,NA,approved_control,Approved controls (success),CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,UCHDWCPVSPXUMX-TZIWLTJVSA-N,5281040,OK
Zafirlukast,NA,Leukotriene antagonist,Cysteinyl leukotriene receptor 1 (CysLT1),Asthma,Approved,1996,NA,NA,approved,Respiratory,NA,approved_control,Approved controls (success),CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,YEEZWCHGZNKEEK-UHFFFAOYSA-N,5717,OK
Theophylline,NA,Phosphodiesterase inhibitor,Non-selective Phosphodiesterase (PDE) inhibition and Adenosine receptor antagonism,Asthma/COPD,Approved,1940s,NA,NA,approved,Respiratory,NA,approved_control,Approved controls (success),CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,2153,OK
